country,population_2014,population_2019,item,element,unit,food_supply_kcal_capita_2014,food_supply_kcal_capita_2019,food_supply_kcal_2014,food_supply_kcal_2019
Afghanistan,33371.0,38042.0,Millet and products,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,1.0,1.0,12180415000.0,13885330000.0
Afghanistan,33371.0,38042.0,Miscellaneous,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,1.0,1.0,12180415000.0,13885330000.0
Afghanistan,33371.0,38042.0,Mutton & Goat Meat,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,31.0,22.0,377592865000.0,305477260000.0
Afghanistan,33371.0,38042.0,Nuts and products,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,8.0,12.0,97443320000.0,166623960000.0
Afghanistan,33371.0,38042.0,Oats,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,1.0,0.0,13885330000.0
Afghanistan,33371.0,38042.0,"Offals, Edible",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,5.0,4.0,60902075000.0,55541320000.0
Afghanistan,33371.0,38042.0,"Oilcrops Oil, Other",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,1.0,0.0,12180415000.0,0.0
Afghanistan,33371.0,38042.0,"Oilcrops, Other",Food supply (kcal/capita/day),kcal/capita/day,0.0,0.0,0.0,0.0
Afghanistan,33371.0,38042.0,Olive Oil,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Afghanistan,33371.0,38042.0,Olives (including preserved),Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Afghanistan,33371.0,38042.0,Onions,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,5.0,5.0,60902075000.0,69426650000.0
Afghanistan,33371.0,38042.0,"Oranges, Mandarines",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,3.0,3.0,36541245000.0,41655990000.0
Afghanistan,33371.0,38042.0,Palm Oil,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,102.0,108.0,1242402330000.0,1499615640000.0
Afghanistan,33371.0,38042.0,Palmkernel Oil,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Afghanistan,33371.0,38042.0,Peas,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,1.0,6.0,12180415000.0,83311980000.0
Afghanistan,33371.0,38042.0,Pepper,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Afghanistan,33371.0,38042.0,Pigmeat,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Afghanistan,33371.0,38042.0,Pimento,Food supply (kcal/capita/day),kcal/capita/day,0.0,0.0,0.0,0.0
Afghanistan,33371.0,38042.0,Pineapples and products,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Afghanistan,33371.0,38042.0,Plantains,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Afghanistan,33371.0,38042.0,Potatoes and products,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,27.0,51.0,328871205000.0,708151830000.0
Afghanistan,33371.0,38042.0,Poultry Meat,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,7.0,6.0,85262905000.0,83311980000.0
Afghanistan,33371.0,38042.0,"Pulses, Other and products",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,24.0,19.0,292329960000.0,263821270000.0
Afghanistan,33371.0,38042.0,Rape and Mustard Oil,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,1.0,1.0,12180415000.0,13885330000.0
Afghanistan,33371.0,38042.0,Rape and Mustardseed,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Afghanistan,33371.0,38042.0,Rice and products,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,165.0,126.0,2009768475000.0,1749551580000.0
Afghanistan,33371.0,38042.0,"Roots, Other",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Afghanistan,33371.0,38042.0,Rye and products,Food supply (kcal/capita/day),kcal/capita/day,0.0,0.0,0.0,0.0
Afghanistan,33371.0,38042.0,Sesame seed,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,7.0,7.0,85262905000.0,97197310000.0
Afghanistan,33371.0,38042.0,Sesameseed Oil,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,1.0,1.0,12180415000.0,13885330000.0
Afghanistan,33371.0,38042.0,Sorghum and products,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Afghanistan,33371.0,38042.0,Soyabean Oil,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,10.0,7.0,121804150000.0,97197310000.0
Afghanistan,33371.0,38042.0,Soyabeans,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,1.0,0.0,13885330000.0
Afghanistan,33371.0,38042.0,"Spices, Other",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,3.0,0.0,41655990000.0
Afghanistan,33371.0,38042.0,Sugar (Raw Equivalent),Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,149.0,166.0,1814881835000.0,2304964780000.0
Afghanistan,33371.0,38042.0,Sunflowerseed Oil,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,29.0,36.0,353232035000.0,499871880000.0
Afghanistan,33371.0,38042.0,Sweet potatoes,Food supply (kcal/capita/day),kcal/capita/day,0.0,0.0,0.0,0.0
Afghanistan,33371.0,38042.0,"Sweeteners, Other",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,3.0,1.0,36541245000.0,13885330000.0
Afghanistan,33371.0,38042.0,Tea (including mate),Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,3.0,1.0,36541245000.0,13885330000.0
Afghanistan,33371.0,38042.0,Tomatoes and products,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,3.0,0.0,36541245000.0,0.0
