Timestamp,CPU,Memory,ResponseTimeCpus,ResponseTimeMems
2025-01-10 11:25:28,72500,1200m,0.9853518009185791,0.22330808639526367
2025-01-10 11:25:45,83000,950m,0.831629753112793,0.24399924278259277
2025-01-10 11:26:06,45000,600m,1.7734136581420898,0.8076350688934326
2025-01-10 11:26:28,29500,450m,3.2032814025878906,1.811051845550537
2025-01-10 11:26:47,66500,1000m,1.0265071392059326,0.29813313484191895
2025-01-10 11:27:18,18250,250m,7.398133754730225,5.6203553676605225
2025-01-10 11:27:37,80500,800m,0.8341732025146484,0.30959177017211914
2025-01-10 11:27:56,52000,750m,1.5800316333770752,0.6099505424499512
2025-01-10 11:28:17,39500,500m,2.1921815872192383,1.1136143207550049
2025-01-10 11:28:43,22500,350m,5.072068929672241,3.0335817337036133
2025-01-10 11:29:05,34000,400m,2.663893938064575,1.722369909286499
2025-01-10 11:29:24,97000,1250m,0.7129542827606201,0.15046334266662598
2025-01-10 11:29:42,62000,950m,1.084150791168213,0.38657140731811523
2025-01-10 11:30:02,48500,750m,1.5035436153411865,0.5340609550476074
2025-01-10 11:30:34,15250,125m,5.903970003128052,8.743836879730225
2025-01-10 11:30:57,25000,500m,3.074211835861206,1.520784854888916
2025-01-10 11:31:17,42000,550m,1.6353328227996826,0.8241491317749023
2025-01-10 11:31:39,30000,300m,2.775972843170166,1.7341639995574951
2025-01-10 11:31:58,81000,700m,0.8064610958099365,0.338712215423584
2025-01-10 11:32:16,92500,1000m,0.7129945755004883,0.20167899131774902
2025-01-10 11:32:42,17500,200m,4.346572399139404,3.7242345809936523
2025-01-10 11:33:01,74000,900m,0.9410243034362793,0.30179452896118164
2025-01-10 11:33:24,26000,400m,3.8540942668914795,1.7406370639801025
2025-01-10 11:33:42,103500,1400m,0.6854996681213379,0.14136171340942383
2025-01-10 11:34:00,78000,850m,0.8467986583709717,0.3048522472381592
2025-01-10 11:34:20,47000,650m,1.4562287330627441,0.6138029098510742
2025-01-10 11:34:41,32500,375m,2.3702054023742676,1.4224441051483154
2025-01-10 11:35:01,56000,800m,1.1912684440612793,0.47989487648010254
2025-01-10 11:35:19,87500,1100m,0.7845046520233154,0.16581368446350098
2025-01-10 11:35:37,112000,1450m,0.6800258159637451,0.14212489128112793
2025-01-10 11:35:55,97000,1250m,0.7086172103881836,0.14171433448791504
2025-01-10 11:36:15,39000,500m,1.8308353424072266,0.9328880310058594
2025-01-10 11:36:33,67000,900m,1.0175297260284424,0.3353452682495117
2025-01-10 11:36:51,93000,1200m,0.7160625457763672,0.1624157428741455
2025-01-10 11:37:13,25500,350m,2.990144968032837,1.912463665008545
2025-01-10 11:37:32,58000,1000m,1.1878182888031006,0.3087923526763916
2025-01-10 11:37:50,72000,950m,0.9026265144348145,0.29340600967407227
2025-01-10 11:38:09,81500,850m,0.8161277770996094,0.27202534675598145
2025-01-10 11:38:29,38500,500m,1.7744638919830322,1.0053966045379639
2025-01-10 11:38:51,30500,450m,2.6688642501831055,1.7195994853973389
2025-01-10 11:39:26,10000,100m,8.695575475692749,8.205478191375732
2025-01-10 11:40:02,87000,1150m,0.8170657157897949,0.16759133338928223
2025-01-10 11:40:21,43000,650m,1.5742192268371582,0.7167472839355469
2025-01-10 11:40:39,68500,850m,1.028796911239624,0.32622385025024414
2025-01-10 11:40:59,52000,750m,1.588658332824707,0.5351719856262207
2025-01-10 11:41:18,45500,600m,1.689178705215454,0.710059404373169
2025-01-10 11:41:36,61000,800m,1.1330108642578125,0.3999660015106201
2025-01-10 11:41:54,98000,1250m,0.708139181137085,0.14176058769226074
2025-01-10 11:42:17,26000,400m,3.998922348022461,2.018878698348999
2025-01-10 11:42:37,48000,700m,1.7579078674316406,0.6219925880432129
2025-01-10 11:43:00,29500,300m,2.4661266803741455,1.9177920818328857
2025-01-10 11:43:32,11000,150m,7.440328598022461,6.917121410369873
2025-01-10 11:43:51,76500,900m,0.9181804656982422,0.2642223834991455
2025-01-10 11:44:11,38500,550m,2.1017112731933594,0.9202134609222412
2025-01-10 11:44:34,25500,350m,2.975484848022461,2.5346851348876953
2025-01-10 11:44:53,64500,950m,1.1116609573364258,0.3273353576660156
2025-01-10 11:45:13,58000,850m,1.2439136505126953,0.4173576831817627
2025-01-10 11:45:34,33000,400m,2.3028852939605713,1.4380431175231934
2025-01-10 11:45:54,49500,650m,1.457399606704712,0.6095590591430664
2025-01-10 11:46:12,88500,1100m,0.7610445022583008,0.16057705879211426
2025-01-10 11:46:30,71000,750m,0.9401774406433105,0.38497257232666016
2025-01-10 11:46:49,142500,1850m,0.6974508762359619,0.14304256439208984
2025-01-10 11:47:12,21000,300m,3.7675886154174805,2.711207151412964
2025-01-10 11:47:32,63000,900m,1.1474852561950684,0.37303996086120605
2025-01-10 11:47:51,51000,700m,1.3886253833770752,0.5210065841674805
2025-01-10 11:48:11,47000,600m,1.54069185256958,0.6930928230285645
2025-01-10 11:48:36,24000,350m,4.814184665679932,2.6418683528900146
2025-01-10 11:48:55,87000,1150m,0.7668280601501465,0.17103242874145508
2025-01-10 11:49:13,68000,850m,1.0622258186340332,0.3419005870819092
2025-01-10 11:49:34,38000,500m,1.9205958843231201,1.0138280391693115
2025-01-10 11:49:55,32500,450m,2.326990842819214,1.7049827575683594
2025-01-10 11:50:15,54000,800m,1.3844146728515625,0.5149805545806885
2025-01-10 11:50:33,97000,1300m,0.7070298194885254,0.1388874053955078
2025-01-10 11:50:55,25000,400m,3.1927640438079834,1.907583475112915
2025-01-10 11:51:29,13500,175m,7.967289447784424,7.6093621253967285
